id,name,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,life,music,computed_death
1606,Rudolf,Escher,1912-01-08,1980-03-17,"Amsterdam,The Netherlands","De,The Netherlands","Rudolph Escher is an important 20th century Dutch composer. The famous graphical artist Maurits Escher was his half uncle. Rudolph studied piano and composition at the Rotterdam conservatory between 1931 and 1937.  When the city of Rotterdam was bombarded in May 1940, nearly all his early compositions were lost.",,
1607,Pedro,Escobar <small>(do Porto)</small>,,,,"Évora,Portugal",,,
1608,María,Escribano,1954-01-24,2002-12-22,"Madrid,Spain","Madrid,Spain",,,
1609,Francisco,Escudero,1912-08-13,2002-06-07,"Zarautz,Spain","Donostia,Spain",,,
1610,Juan,Pedro Esnaola,,,Argentina,Argentina,,,
1611,Enrique,Espín Yépez,1926-11-19,1997-05-21,"Quito,Ecuador","Mexico,Mexico",Enrique Espín moved to Mexico in 1969. He created the Henryk Szeryng International Violin Competition in Mexico in 1992.,,
1612,Vicente,Espinel,,1624-02-04,,"Madrid,Spain",,,
1613,Oscar,Esplá y Triay,1886-08-05,1976-01-06,"Alicante,Spain","Madrid,Spain",,,
1614,Raúl,Espoile,,,"Mercedes,,Argentina",Argentina,,,
1615,Karlheinz,Essl,1960-08-15,,"Vienna,Austria",,,,
1616,João,Rodrigues Esteves,,,,,,,
1617,Mariano,Etkin,,,Argentina,,,,
1618,Franco,Evangelisti,,,Italy,,,,
1619,Francois,Evans,1965-08-07,,"London,England",,"See <a href=""http://lampmusic.co.uk"">http://lampmusic.co.uk.",,
1620,Pierre,Even,1946-12-04,,"Wiesbaden,Germany",,,,
1621,Jury,Everhartz,1971-04-30,,"Berlin,Germany",,Composing price of the Government of Autria 2003. Musical director of the sirene Operntheater. Organist of Mariahilf in Vienna.,,
1622,Cromwell,Everson,1925-09-26,1991-06-11,"Beaufort,South Africa",South Africa,Cromwell Everson wrote the first Afrikaans opera (Klutaimnestra) and most of his other vocal works were in Afrikaans.,,
1623,Victor,Ewald,1860-11-27,1935-04-26,"St.,Russia","Leningrad,Russia","Was engineer and teacher and has music as a pastime, played cello and french horn, and searched for folktunes in North Russia. (Dictionnaire biographique des musiciens; Robert Laffond, publisher.)",,
1624,Tim,Ewers,1958-02-26,,"Welwyn,United Kingdom",,,,
1625,Elzéar,"Genet <small>(Carpentras, Eliziari Geneti)</small>",,1548-06-14,,"Avignon,France",,,
1626,Hanns,[Johann] Jelinek <small>(Elin)</small>,1901-12-05,1969-01-27,"Wien,Austria","Wien,Austria",,,
1627,Hans,van Eck,1958-08-16,,"Zwolle,The Netherlands",,,,
1628,Ruud,van Eeten,1973-06-04,,"Geleen,The Netherlands",,,,
1629,(Joncker),Jacob van Eyck,,1657-03-26,,"Utrecht,The Netherlands","The ""Joncker"" in his name refers to an old Dutch title, like ""mister"" in English.",,
1630,Gottfried,von Einem,1918-01-24,1996-07-12,"Bern,Switzerland","Wien,Austria",,,
1631,Johann,Nepomuk Kafka,1819-05-17,1886-10-23,Bohemia,?,Johann Nepomuk Kafka is known as a composer of “Salon” music. He was also an autograph collector. Beethoven’s so-called Kafka note book is named after Johann Nepomuk Kafka.,,
1632,Erik,Satie,1866-05-17,1925-07-01,"Honfleur,France","Paris,France",,,
1633,Werner,Egk,1901-05-17,1983-07-10,"Auchsesheim,Germany","Inning,Germany",,,
1634,Peter,Mennin,1923-05-17,1983-06-17,"Erie,,USA","New,USA",,,
1635,Philippe,Boesmans,1936-05-17,,"Tongeren,Belgium",,,,
1636,Jacob,Wilhelm Lustig,1706-09-21,1796-05-17,"Hamburg,Germany","Groningen,The Netherlands","The Dutch theorist, organist and composer Jacob Wilhelm Lustig was of German descent. Among his teachers were Mattheson, Telemann and Kuntzen. His father, who was also called Jacob Wilhelm, had been a pupil of J.A. Reincken.",,
1637,Fanny,Cécile Mendelssohn <small>(Hensel)</small>,1805-11-14,1847-05-17,"Hamburg,Germany","Berlin,Germany",,,
1638,Henri,Cohen,,1880-05-17,"Amsterdam,The Netherlands","Brie,France",,,
1639,Paul,Dukas,1865-10-01,1935-05-17,"Paris,France","Paris,France",,,
1640,Pietro,Mascagni,1863-12-07,1945-08-02,"Livorno,Italy","Roma,Italy",,,
1641,Ruggero,Leoncavallo,1857-04-23,1919-08-09,"Napoli,Italy","Montecatini,Italy",,,
1642,Maurice,Ravel,1875-03-07,1937-12-28,"Ciboure,France","Paris,France",,,
1643,Aloís,Hába,1893-06-21,1973-11-18,"Vizovice,Eastern Moravia","Praha,Czechoslovakia (Now Czech Republic)",Student: Necil Akses (Turkey),,
1644,Sergey,Prokofiev,1891-04-23,1953-03-05,"Sontsovka,Russia (now Ukraine)","Moscow,Russia",Prokofiev’s birthday in the old style calendar is 11 April 1891.,,
1645,Samuel,Lover,1797-02-24,1868-07-06,"Dublin,Ireland","St.,UK","The Irish composer Samuel Lover was also known as a writer and as a painter. He wrote the text to his own opera “Grana Uile, or the The Island Queen” (premiered 9 February 1839 in Dublin). He also painted a miniature of Paganini in 1832. From 1835 he settled in London as a miniature painter. After his eyesight began to fail him, he started touring with a successful musical entertainment, called “Irish Evenings”, in Enlend, Scotland, Wales and even the USA (1846).",,
1646,William,James Mathias,1934-11-01,1992-07-29,"Whitland,,Wales","Anglesey,Wales",,,
1647,Ralf,Bauer-Mörkens,1953-02-26,,"Bonn,Germany",,,,
1648,Nancy,Van de Vate,1930-12-30,,"Plainfield,,USA",,,,
1649,Ignaz,[Ignace] Vitzthumb <small>(Witzthumb)</small>,1724-09-14,1816-03-23,"Baden,Austria","Brussel,Belgium",,,
1650,Lilia,Valitova,1960-10-03,,"Salavat,,Russia",,,,
1651,Arkadi,Troitsky <small>(Аркадий Троицкий)</small>,1957-04-10,,"Moscow,Russia",,,,
1652,Olivia,Saunders Fox,1980-05-19,,"Kingston-upon-Thames,England",,,,
1653,Wolfgang,Amadeus <small>(Amadé)</small> Mozart,1756-01-27,1791-12-05,"Salzburg,Austria","Wien,Austria","Son of Leopold, father of Franz Xaver.",,
1654,Antonio,Vivaldi,1678-03-04,1741-07-28,"Venezia,Italy","Wien,Austria",,,
1655,Pyotr,Ilyich Tchaikovsky,1840-05-07,1893-11-06,"Wotkinsk,Russia","St.,Russia",,,
1656,Ludwig,van Beethoven,1770-12-16,1827-03-26,"Bonn,Germany","Wien,Austria",Beethoven’s birthdate was very likely 16 December. He was baptised on the 17 December (thanks Melissa Arseneau!).,,
1657,Johann,Sebastian Bach,1685-03-21,1750-07-28,"Eisenach,Germany","Leipzig,Germany","Father of Wilhelm Friedemann, Carl Philipp Emanuel, Johann Christoph Friedrich and Johann Christian.",,
1658,Johann,Nepomuk Hummel,1778-11-14,1837-10-17,"Pressburg,Slovak Republic","Weimar,Germany",,,
1659,Johannes,Brahms,1833-05-07,1897-04-03,"Hamburg,Germany","Wien,Austria",,,
1660,Antonio,Salieri,1750-08-18,1825-05-07,"Legnago,Italy","Vienna,Austria",,,
1661,Gustav,Mahler,1860-07-07,1911-05-18,"Kalischt,Czech Republic","Wien,Austria",,,
1662,Georges,Bizet,1838-10-25,1875-06-03,"Paris,France","Bougival,France",,,
1663,Miguel,Álvarez Fernández,1979-01-22,,"Madrid,Spain",,,,
1664,Paul,"Ben-Haim <small>(Frankenburger, <span dir=""rtl"">פאול בן חיים</span>)</small>",1897-07-05,1984-01-14,"München,Germany","Tel-Aviv,Israel",,,
1665,Manuel,de Falla,1876-11-23,1946-11-14,"Cádiz,Spain","Alta,Argentina",,,
1666,Willem,de Fesch,1687-08-26,,"Alkmaar,The Netherlands","London,England",,,
1667,Johannes,de Fossa,,,,"Munich,Bavaria (Germany)",,,
1668,Frederico,de Freitas,1902-11-15,1980-01-12,"Lisboa,Portugal",Portugal,,,
1669,Gunnar,de Frumerie,1908-07-20,1987-09-09,"Nacka,Sweden",Sweden,,,
1670,Miguel,de Fuenllana,,,,,,,
1671,Francisco,"José Debali <small>(Debály Ferenc József, de Bali, Debáli, Debally)</small>",1791-07-26,1859-01-13,"Kinnen,,Hungary","Montevideo,Uruguay",,,
1672,Anton,Del Forno,1950-08-17,,"New,USA",,"Del Forno began playing guitar at the age of twelve and performed in a rock’n’roll group for about five years.  At seventeen upon hearing the classical guitar and its unlimited possibilites, Anton knew his destiny.  It was then he abandoned the electric guitar for classical. He attended Mannes College of Music in New York. In 1972 he graduated with highest honors. At the request of his instructor Leonid Bolotine and his senior colleagues, he performed a solo recital there while still a freshman, making him t he first guitarist in the school’s history to do so.  At twenty-four the Sol Hurok Agency launched him on a successful concert career. Anton Del Forno now is recognized as the guitar virtuoso/composer of today. Hailed by critics a ""The Master of Guitar"" leaving audiences throughout the world spellbound. In addition to composing and concertizing, he toured as lead guitarist with the Joffery Ballet in ""Viva Vivaldi"", performed as stage and lead guitarist in the Broadway production of ""Man of La Mancha"", and was lead guitarist with the Metropolitan Opera production of Kurt Weill’s ""Mahagonny"". During one of Del Forno’s United States tours the Lubbock Avalanche Journal said,... ""rocks loss is certainly the concert halls gain"", and the New York Times said, ""He’s a classical guitarist of great accomplishment"".",,
1673,Giacomo,Facco,1676-02-04,1753-02-16,"Venice,Italy","Madrid,Spain","The composer, keyboard-player, violinist and cellist Giacomo Facco was one of the many Italian musicians working in the eighteenth century at the Spanish court. He served as a member of the Capilla Real and taught the children of Don Luis and Don Carlos, the future King Luis I and King Carlos III. The Balletti a due violoncelli are the first works for cello that we know of that were written in Spain. The six suites were written about 1723 with the two cellos treated as a duo, an unusual procedure at this period.",,
1674,Hans,Fährmann,1860-12-17,1940-06-29,"Lomatzsch,Germany","Dresden,Germany","Hans Fährmann (1860–1940) was a German organist active in Dresden at the Johanniskirche there. He wrote organ, choral and chamber music, and was described as the “Richard Strauss” of the organ, by contemporary accounts. Four recordings exist of some of his organ sonatas.",,
1675,Zaur,Fakhradov,,,"Baku,Azerbaijan",,,,
1676,Andrea,Falconieri <small>(Falconiero)</small>,,1656-07-29,,"Napoli,Italy",,,
1677,Leo,Fall,1873-02-02,1925-09-16,"Olomouc,Czech Republic","Vienna,Austria","Leo Fall is a composer of operettas. He was first educated by his father, also a composer and bandmaster, and later studied at the Vienna Conservatory. Fall worked in Berlin, Hamburg, Cologne and Vienna. He is buried at the Vienna Zentralfriedhof.",,
1678,Dimitri,Fampas,1921-12-22,1996-05-03,"Lafkos/Volos,Greece","Athens,Greece","Dimitri Fampas, (1922-1996), the most important Greek guitarist through the years, was born in the small village of Lafkos, in Pilion mountain. He studied with Emilio Pujol and Andres Segovia in Spain and Italy, gave hundreds of concerts all  around the world, including UK, USA, Canada, France, Czechoslovakia, USSR, Germany, Italy, Portugal, Turkey, Vatican, Spain, Nederland, and of course every where in Greece including the ancient theatre of Epidavros.   He created hundreds of exceptional guitarists and professors, now very famous in the guitar circles, establishing  the world famous Greek guitar school.",,
1679,Henri-Claude,Fantapié,1938-09-09,,"Nice,France",,"Fantapié is also musicologist (Italian XVIII° music — forgotten French composers — books on Nordic and Finnish music), a teacher of conducting (Le chef d’orchestre, art et technique — Ed. de l’Harmattan).",,
1680,Girolamo,Fantini,,,,,,,
1681,Marcel,Farago,,,Romania,,,,
1682,Alex,Farhoud,,,,,,,
1683,Manuel,Faria,,,"Braga,Portugal",Portugal,,,
1684,Ferenc,Farkas,,,Hungary,"Budapest,Hungary",,,
1685,John,Farmer,,,,,,,
1686,Giles,Farnaby,,,,,,,
1687,Robert,John Farnon,1917-07-24,2005-04-22,"Toronto,Canada","Guernsey,England","Born in Canada, Robert Farnon decided to stay in Europe after World War II, when he was there as Canadian Army captain and the conductor/arranger of the Canadian Band of the Allied Expeditionary Force.",,
1688,David,Farquhar,,2007-05-08,"Cambridge,New Zealand",New Zealand,,,
1689,Jeanne-Louise,Farrenc-Dumont,1804-05-31,1875-01-31,"Paris,France","Paris,France",,,
1690,Arthur,Farwell,1872-04-23,1952-01-20,"St.,USA","New,USA",,,
1691,Johann,Friedrich Fasch,1688-04-15,1758-12-05,"Buttelstädt,Germany","Zerbst,Germany",,,
1692,Gabriel,Fauré,1845-05-12,1924-11-04,"Pamiers,France","Paris,France",,,
1693,John,Faverman,1957-12-11,,"Burbank,,USA",,"Studied at University of California at Santa Barbara, California Institute of the Arts with Mel Powell, Harvard University with Donald Martino and Brandeis University with Harold Shapiro, Conrad Pope and Allen Anderson.  Tentative publication by Music for Percussion, Inc (held in receipt since 1992).  Most scores stored at the American Music Cente at the NYPL, New York.  Has since moved on to pursue other interests but plans to return to composition and theory.",,
1694,Robert,Fayrfax,1464-04-23,1521-10-24,"Deeping,England","St.,England",Robert Fayrfax was a principle composer of the early Tudor period.,,
1695,Alfio,Fazio,1959-10-27,,"Genova,Italy",,,,
1696,Jonathan,FeBland,1960-10-19,,"London,England",,,,
1697,Ralph,Federer,,,,,"Dolores Gill &lt;dgill1<img src=""/a.png"" style=""border: 0pt; margin: 0pt; padding: 0pt;"" alt=""(at)""/>midsouth.rr.com&gt; is looking for more information about this composer.",,
1698,Ron,Fein,1952-12-27,,"California,USA",,,,
1699,Morton,Feldman,1926-01-12,1987-09-03,"New,USA",USA,,,
1700,Vittorio,Fellegara,1927-11-04,,"Milano,Italy",,"Composer Vittorio Fellegara studied with Luciano Chailly and in Darmstadt and has taught at the Donizetti Institute in Bergamo. His music synthesizes avant-garde elements with features of postwar Italian realism, connecting both with Nono and Petrassi.",,
1701,Oleg,Felzer,,,"Baku,Azerbaijan",,,,
1702,Francesco,Feo,,1761-01-28,"Naples,Italy","Naples,Italy",The Italian composer and teacher Francesco Feo was considered by Burney as one of the greatest Neapolitan masters of his time.,,
1703,Howard,Ferguson,1908-10-21,1999-11-01,"Belfast,Northern Ireland","Cambridge,England",,,
1704,Frank,Ferko,1950-06-18,,"Barberton,,USA",,,,
1705,Armando,José Fernandes,1906-07-26,1983-05-03,"Lisbon,Portugal","Lisbon,Portugal",,,
1706,Brian,Ferneyhough,1943-01-16,,"Coventry,England",,,,
1707,John,Fernström,,,"Ichang,China","Lund,Sweden",,,
1708,Alfonso,Ferrabosco Jr.,,,,,Son of Alfonso Sr.,,
1709,Franco,Ferrara,1911-07-04,1985-09-07,"Palermo,Italy","Firenze,Italy",,,
1710,Fabrizio,Ferrari,1971-02-12,,"Milan,Italy",,"Computer programmer and computer music specialized since 1985, he’s graduated in traditional composition (student of E. Brusa, N. Castiglioni) and in electronic music (R. Sinigaglia) always at the Conservatory of Milan. He has had varied executions of his own work in many italian localities. In 1992 he collaborated with Alessandro Ferrari for the ""Elfi dei Boschi"" ballet (in cooperation with Teatro alla Scala) at ‘Teatro Carcano"" in Milan. Always in ‘92 he took the course of music for film of Ennio Morricone and in ‘96 he won the third prize at ‘Luigi Russolo’, the international competition of electronic/acoustic music with the composition ""Fusione Fredda"" - ""Cold Fusion"".",,
1711,Manuel,Pedro Ferreira,,,Portugal,,,,
1712,Pierre-Octave,Ferroud,1900-01-06,1936-08-17,"Chasseley,France","Debrecen,Hungary",,,
1713,Friedrich,Ernst Fesca,1789-02-15,1826-05-24,"Magdeburg,Germany","Karlsruhe,Germany",,,
1714,Leó,Festetics,1800-10-08,1884-11-15,"Pécs,Hungary","Budapest,Hungary",,,
1715,David,Fetherolf,,,"New,USA",,,,
1716,François,Joseph Fétis,1784-03-25,1871-03-26,"Mons,Belgium","Brussel,Belgium",,,
1717,Zdenek,Fibich,1850-12-21,1900-10-15,"Šerborice,Czech Republic","Prague,Czech Republic",,,
1718,Jacobo,Ficher,,,Argentina,Argentina,,,
1719,Sergio,Fidemraizer,1958-09-11,,"Rosario,Argentina",,,,
1720,John,Field,1782-07-26,1837-01-23,"Dublin,Ireland","Moscow,Russia",,,
1721,Matthew,Fields,1961-12-15,,"Milwaukee,,USA",,,,
1722,Jan,Fila,1982-01-24,,"Prague,Czech Republic",,,,
1723,Elsa,Filipe,,,"Lisbon,Portugal",,,,
1724,Henry,Filleul,1877-05-11,1959-05-01,"Laval,France","Saint-Omer,France",,,
1725,Anton,"Filtz <small>(Fils, Filts)</small>",1733-09-22,1760-03-14,"Eichstätt,,Germany","Mannheim,,Germany",,,
1726,Steven,Finch,,,USA,,,,
1727,Heinrich,Finck,,1527-06-09,"Bamberg,Germany","Wien,Austria",Educated in Warsaw and Leipzig. Held appointments at the Polish court 1492-1506 and at the court of Wurttemberg at Stuttgart untill 1514. Later he was in Vienna (Scot. Monastry) and the Salzburg cathedral.,,
1728,Irving,Fine,1914-12-03,1962-08-23,"Boston,USA","Natick,USA",,,
1729,Joshua,Fineberg,1969-07-26,,"Boston,,USA",,,,
1730,Gottfried,[Godfrey] Finger,,,,,,,
1731,Gottfried,Wilhelm Fink,1783-03-07,1846-08-27,"Sulza,,Germany","Leipzig,Germany","The German composer Gottfried Wilhelm Fink was also a music theoretician, theologist and poet.",,
1732,Fidelio,Friedrich Finke,1891-10-22,1968-06-12,"Josefstal,Germany (now Czech Republic)","Dresden,Germany",,,
1733,David,Finko,1936-05-15,,Russia,,"The Russian-born composer David Finko emigrated to the USA in 1979, and became a US citizen in 1986.",,
1734,Ross,Lee Finney,1906-12-23,1997-02-04,"Wells,,USA","Carmel,,USA","College at U Minnesota, Paris to study with Nadia Boulanger.  Further studies here with Edward Burlingame Hill.",,
1735,Michael,Finnissy,1946-03-17,,England,,,,
1736,Mary,Finsterer,,,"Canberra,Australia",,,,
1737,Gerald,Finzi,1901-07-14,1956-09-27,"London,England","Oxford,England",,,
1738,Gioseffo,Hectore Fiocco,1703-01-20,1741-06-22,"Brussel,Belgium","Brussel,Belgium",,,
1739,Federigo,Fiorillo,1755-06-01,,"Brunswick,Germany",,"His date of birth is unknown, in the church records of Brunswik is registerd only the date of his baptism (1 June 1755). His father is the composer Ignazio Fiorillo (1715-1787), who was first since 1750/51 conductor of the duke of Brunswik and then since 1762 of the landgrave of Hesse in Kassel in Germany.",,
1740,Elena,Firsova <small>(Елена Олеговна Фирсова)</small>,1950-03-21,,"Leningrad,Russia",,,,
1741,Johann,Kaspar Ferdinand Fischer,1656-09-06,1746-08-27,"Schönfeld,,Germany","Rastatt,Germany",,,
